"","Features","ANN","SVM-Linear","SVM-Radial","KNN","RandomForest","AdaBoost","Bayes-glm","C5.0","xgBoost","SVM-Poly"
"SNP","G","0.54684","0.54646","0.54659","0.56577","0.57045","0.55252","0.54431","0.53649","0.53611","0.54772"
"Others","Q","0.7946","0.82212","0.84156","0.67542","0.848","0.82389","0.83045","0.83695","0.8384","0.84459"
"Others+blood","Q + B","0.77061","0.75319","0.82187","0.50619","0.85052","0.83626","0.80141","0.80457","0.82793","0.83411"
"Others+blood+SNP","G + Q +B","0.72327","0.76038","0.81113","0.50619","0.84951","0.82565","0.79447","0.8254","0.83171","0.823"
